fichier,entite,valeur,methode_utilisee,confiance,energie_kwh,Te,He,Freq,Feas,methode_recommandee,justification
cc_onco134.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco138.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco138.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco14.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco14.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco140.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco140.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco141.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco141.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco143.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco143.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco147.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco147.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco148.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco148.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco15.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco15.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco150.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco150.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco152.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco152.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco153.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco153.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco155.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco155.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco157.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco157.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco158.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco158.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco159.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco159.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco16.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco16.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
