Entity,Frequency,Count,Per_1k_tokens,Strategy_Hint
Estrogen_receptor,0.0027856154412954012,155,2.785615441295401,FREQUENT -> ML POSSIBLE
Progesterone_receptor,0.0023363226281832394,130,2.336322628183239,FREQUENT -> ML POSSIBLE
Ki67,0.0020667469403159427,115,2.0667469403159426,FREQUENT -> ML POSSIBLE
HER2_status,0.0014736804270078895,82,1.4736804270078896,FREQUENT -> ML POSSIBLE
HER2_IHC,0.001365850151860971,76,1.365850151860971,FREQUENT -> ML POSSIBLE
HER2_FISH,0.00028754740039178334,16,0.28754740039178334,FREQUENT -> ML POSSIBLE
Genetic_mutation,3.594342504897292e-05,2,0.03594342504897292,RARE -> REGLES/LLM
